szDecimals,name,maxLeverage,funding,openInterest,prevDayPx,dayNtlVlm,premium,oraclePx,markPx,midPx,impactPxs,dayBaseVlm,isDelisted,onlyIsolated
1,CAKE,3,0.0000125,415675.6,1.8459,159646.10929,-0.000331647,1.779,1.7775,1.77775,"['1.7772', '1.77841']",87816.8,,
0,PEOPLE,3,0.0000083042,15508536.0,0.010584,147022.949984,-0.0000874891,0.01143,0.011417,0.0114,"['0.01137', '0.011429']",13773154.0,,
2,ENS,5,0.0000125,207839.64,13.989,760035.7625500003,0.0,13.8,13.798,13.798,"['13.7909', '13.8079']",55923.54,,
2,ETC,5,-0.0000103451,141903.24,14.934,292686.4673000001,-0.0006891892,14.8,14.785,14.7845,"['14.776', '14.7898']",19712.51,,
1,XAI,3,0.0000125,5406703.0,0.04221,73041.721602,0.0,0.03986,0.03988,0.03984,"['0.03979', '0.03988']",1776206.7999999993,,
1,MANTA,3,0.0000125,2634289.6000000001,0.17451,513318.6392470002,0.0,0.17045,0.17017,0.17002,"['0.16991', '0.17047']",2993898.5000000014,,
1,UMA,3,0.0000125,132664.8,1.0612,74885.933085,0.0,1.006,1.0045,1.0045,"['1.00281', '1.00613']",72869.0,,
0,ONDO,10,-0.0000219494,18240176.0,0.83116,4987458.0139299985,-0.0012462117,0.8249,0.82409,0.823825,"['0.8238', '0.823872']",6040680.0,,
0,ALT,5,0.0000125,10649274.0,0.025845,69709.634002,-0.0001203852,0.02492,0.0249,0.024893,"['0.024866', '0.024917']",2775344.0,,
1,ZETA,3,-0.0000007636,1379454.3999999999,0.2344,95711.961227,-0.0000920938,0.21717,0.21692,0.21686,"['0.21658', '0.21715']",425330.5000000001,,
1,DYM,3,-0.0001368659,2006665.0,0.26686,201359.202742,-0.0016666667,0.258,0.25739,0.25714,"['0.25695', '0.25757']",776702.4999999999,,
1,MAVIA,3,0.0000125,1495128.0,0.19803,170188.4802250001,0.0,0.1823,0.18217,0.1821,"['0.18192', '0.1824']",888064.5000000001,,
1,W,5,0.0000125,6594920.0,0.06885,262463.0160440001,-0.0003051106,0.06555,0.06552,0.06549,"['0.06542', '0.06553']",3945696.4000000008,,
5,PANDORA,3,0.0,0.0,3012.0,0.0,,1706.6,3026.3,,,0.0,True,True
1,STRK,5,0.0000125,17050437.3999999985,0.12587,1477897.7551730005,-0.000422119,0.11845,0.11832,0.11831,"['0.11823', '0.1184']",12120220.4999999944,,
0,PIXEL,3,0.0,0.0,0.024008,0.0,,0.024025,0.024027,,,0.0,True,
1,AI,3,0.0,0.0,0.12565,0.0,,0.1257,0.12555,,,0.0,True,
3,TAO,5,-0.0000000922,45928.346,233.34,3095628.4679800016,-0.0014487096,230.55,230.3,230.16,"['230.125', '230.216']",13441.239,,
2,AR,5,0.0000125,176972.84,5.1234,397156.3467959999,-0.0010557733,4.9253,4.9186,4.9175,"['4.9163', '4.9201']",79428.79,,
0,MYRO,3,0.0,0.0,0.015813,0.0,,0.015815,0.015813,,,0.0,True,
0,kFLOKI,5,-0.0000324852,21078878.0,0.054206,321922.5408220001,-0.0012209786,0.054055,0.054007,0.053978,"['0.053969', '0.053989']",6007456.0,,
0,BOME,3,-0.0000057575,143128916.0,0.001088,93366.174641,-0.0018552876,0.001078,0.001076,0.001075,"['0.001074', '0.001076']",86855080.0,,
1,ETHFI,5,0.0000087078,1711771.0,0.44287,296558.641992,-0.0003575685,0.4195,0.41915,0.41901,"['0.41861', '0.41935']",693065.0000000001,,
0,ENA,10,0.0000125,78840294.0,0.27627,12815977.2854199987,-0.0010803835,0.2712,0.27097,0.270835,"['0.270783', '0.270907']",47331602.0,,
1,MNT,5,0.0000125,1587427.0,0.70521,103632.350274,0.0,0.69765,0.69785,0.69776,"['0.69715', '0.69859']",148712.0,,
1,TNSR,3,0.0000125,1643840.2,0.12061,70391.070445,-0.0015993266,0.1188,0.1186,0.1185,"['0.11838', '0.11861']",586013.3000000003,,
1,SAGA,5,0.0000125,6946412.0,0.19618,123901.294224,0.0,0.1875,0.18746,0.18741,"['0.18727', '0.18759']",645266.8000000003,,
0,MERL,3,0.0000125,4268106.0,0.07575,117197.093396,-0.0010073875,0.07445,0.074287,0.074278,"['0.074229', '0.074375']",1602853.0,,
0,HBAR,5,0.0000125,41775590.0,0.15832,1303477.36219,-0.0009672903,0.15714,0.15702,0.156945,"['0.156911', '0.156988']",8262629.0,,
0,POPCAT,10,0.0000125,65567756.0,0.238,37443233.0433699936,-0.0000331854,0.24107,0.24105,0.24097,"['0.240851', '0.241062']",151386535.0,,
2,OMNI,3,-0.0000179364,243459.16,1.7908,699035.6194050001,-0.0007367526,1.7645,1.761,1.7604,"['1.7574', '1.7632']",396702.3900000001,,
2,EIGEN,5,-0.000052981,2322404.6200000001,0.7814,956046.2445799994,-0.0012950013,0.7722,0.7713,0.7711,"['0.771', '0.7712']",1217148.5600000003,,
0,REZ,3,-0.0001143588,71364966.0,0.013281,258928.0349050001,-0.0025512238,0.012543,0.012499,0.012502,"['0.012494', '0.012511']",20342700.0,,
0,NOT,3,0.0000125,75649280.0,0.001707,358472.2423789999,-0.0006097561,0.00164,0.001639,0.001637,"['0.001636', '0.001639']",216286161.0,,
0,TURBO,5,0.0000125,189634312.0,0.00179,109393.895488,-0.0005800464,0.001724,0.001722,0.001722,"['0.00172', '0.001723']",62541691.0,,
0,BRETT,5,-0.0000133427,37626654.0,0.033573,1163575.0790829998,-0.0006258801,0.031955,0.031932,0.031916,"['0.031912', '0.031935']",35391823.0,,
1,IO,5,0.0000095323,494023.4,0.57514,410020.2686249998,-0.0006731621,0.5645,0.56398,0.5637,"['0.56331', '0.56412']",720425.9999999999,,
0,ZK,5,0.0000090843,35336704.0,0.04736,994650.113141,-0.0006758184,0.04735,0.047318,0.047306,"['0.047306', '0.047318']",20891963.0,,
0,BLAST,3,-0.0001377167,446776666.0,0.002968,174509.6981289999,-0.0027913468,0.002866,0.002856,0.002855,"['0.002851', '0.002858']",60509688.0,,
0,LISTA,3,0.0,0.0,0.12493,0.0,,0.1247,0.12466,,,0.0,True,
0,MEW,5,0.0000125,96212554.0,0.002257,85733.332246,-0.0013489209,0.002224,0.002221,0.002219,"['0.002217', '0.002221']",38286137.0,,
1,RENDER,5,-0.0000111872,1193611.6000000001,3.6632,778951.1457500001,-0.0009245542,3.645,3.6415,3.6402,"['3.63803', '3.64163']",211957.4999999999,,
0,kDOGS,3,0.0000125,421552.0,0.11101,27172.16252,-0.0014836506,0.10245,0.10223,0.10217,"['0.102025', '0.102298']",257826.0,,
0,POL,5,-0.0000393642,7959988.0,0.18367,294738.7726999999,-0.0013814318,0.1788,0.17854,0.178505,"['0.178445', '0.178553']",1638245.0,,
0,CATI,3,0.0,0.0,0.083021,0.0,,0.08275,0.082821,,,0.0,True,
0,CELO,3,0.0000125,256194.0,0.29191,64140.36875,-0.0000600919,0.2829,0.28268,0.282515,"['0.282326', '0.282883']",225455.0,,
0,HMSTR,3,0.0000097061,354083380.0,0.002461,102012.157883,-0.00083022,0.002409,0.002407,0.002405,"['0.002402', '0.002407']",42735765.0,,
1,SCR,5,0.0000125,1647747.2,0.23291,1132721.3711069997,0.0,0.2175,0.2174,0.2175,"['0.21733', '0.21766']",4931843.8999999966,,
0,NEIROETH,5,0.0000125,71021198.0,0.019563,514621.968398,0.0,0.01796,0.017964,0.017967,"['0.017938', '0.017987']",27499371.0,,
1,kNEIRO,5,0.0000125,3341829.0,0.16617,94966.18184,-0.0003168969,0.15778,0.15764,0.15761,"['0.15747', '0.15773']",587681.8999999999,,
0,GOAT,5,0.0000125,74139970.0,0.046483,544084.1058690001,0.0,0.045605,0.045605,0.0456,"['0.045565', '0.045629']",11841354.0,,
0,MOODENG,5,-0.0000097833,34646326.0,0.024153,317504.3625559999,-0.0018070734,0.023242,0.02321,0.023191,"['0.023177', '0.0232']",13380603.0,,
1,GRASS,5,0.0000125,3459380.3999999999,1.6592,1870177.7922899993,0.0,1.6583,1.6576,1.6576,"['1.65641', '1.65888']",1124623.4000000004,,
0,PURR,3,0.0000125,60766218.0,0.09503,807917.0302799999,0.0,0.094636,0.094684,0.09459,"['0.094121', '0.095149']",8597526.0,,
1,PNUT,5,0.0000125,13461378.7999999989,0.12373,632277.164776,-0.0002431118,0.1234,0.12335,0.12331,"['0.12324', '0.12337']",5129184.0,,
0,XLM,5,-0.0000240506,16386548.0,0.23686,813138.4967099995,-0.0015775151,0.23518,0.2349,0.23474,"['0.234703', '0.234809']",3457684.0,,
0,CHILLGUY,3,0.0000125,28419262.0,0.019339,300915.1840230001,0.0,0.02004,0.02003,0.020025,"['0.019973', '0.020091']",15390524.0,,
0,SAND,5,0.0000113945,1952132.0,0.24875,183366.3003200001,-0.0011227208,0.24405,0.24382,0.24371,"['0.243656', '0.243776']",743353.0,,
0,IOTA,3,0.0000125,1264634.0,0.15864,139599.3828,-0.0004107831,0.1558,0.15568,0.155625,"['0.155501', '0.155736']",888548.0,,
0,ALGO,5,0.0000125,3792570.0,0.18325,290374.0552700002,-0.0005163798,0.1801,0.17993,0.17987,"['0.17975', '0.180007']",1599453.0,,
2,HYPE,5,-0.0000473101,16798488.4199999943,15.275,134229793.4216799438,-0.0007766132,15.838,15.822,15.8225,"['15.8124', '15.8257']",8619963.1799999997,,
1,ME,5,-0.0002024501,603326.6,0.91047,293648.2342359998,-0.0031610942,0.8225,0.82,0.81888,"['0.81842', '0.8199']",340831.2,,
0,MOVE,5,-0.0008810634,29970854.0,0.26876,5886999.317479996,-0.0072158498,0.23975,0.23777,0.237695,"['0.237574', '0.23802']",23229354.0,,
1,VIRTUAL,5,-0.000064519,5367910.4000000004,0.55467,2888246.223117,-0.0013909774,0.532,0.53121,0.53114,"['0.53105', '0.53126']",5308115.2999999989,,
0,PENGU,5,0.0000008344,466701040.0,0.004535,1807242.4995790003,-0.0011032657,0.004532,0.004528,0.004526,"['0.004524', '0.004527']",408057834.0,,
1,USUAL,5,-0.0000095432,20086327.8000000007,0.13182,954625.5477900002,-0.001540832,0.1298,0.12958,0.12951,"['0.12941', '0.1296']",7308190.9999999972,,
1,FARTCOIN,5,0.0000125,126420179.200000003,0.86403,163937414.7191589475,-0.0005175983,0.8694,0.86942,0.8686,"['0.86855', '0.86895']",180552362.3999998271,,
1,AI16Z,5,0.0000125,26145213.5999999978,0.13176,2682483.9160270006,-0.0001558239,0.12835,0.12827,0.12824,"['0.12815', '0.12833']",20885410.9000000097,,
0,AIXBT,5,0.0000027427,24819704.0,0.077002,644707.6272890003,-0.0007536505,0.074305,0.074234,0.07422,"['0.074196', '0.074249']",8505421.0,,
0,ZEREBRO,5,0.0000125,93569680.0,0.019279,2547339.1969790007,0.0,0.019658,0.019682,0.019678,"['0.019626', '0.019746']",132093847.0,,
0,BIO,5,-0.0001077812,7413864.0,0.042991,89176.934884,0.0,0.042845,0.042704,0.042709,"['0.042617', '0.042852']",2104837.0,,
0,GRIFFAIN,5,0.0000125,40632482.0,0.026937,263005.872276,0.0,0.026355,0.026369,0.026345,"['0.02633', '0.026367']",9807817.0,,
1,SPX,5,-0.0000079829,6624538.0,0.45133,2356406.9389820006,-0.0010696379,0.44875,0.44825,0.44797,"['0.44773', '0.44827']",5166389.7000000011,,
0,S,5,-0.0000304411,14938860.0,0.47757,3194316.0185000012,-0.0011326443,0.4644,0.46386,0.463735,"['0.46369', '0.463874']",6806267.0,,
1,MORPHO,5,-0.0001453443,764074.0,0.87263,357309.760622,-0.0016517308,0.85365,0.85191,0.85182,"['0.85147', '0.85224']",418862.2000000002,,
1,TRUMP,10,-0.0000697055,5351560.3999999985,7.9327,34215337.0344899967,-0.0011767749,7.733,7.725,7.72265,"['7.7222', '7.7239']",4340745.2000000011,,
1,MELANIA,5,-0.000736301,12271283.0,0.42402,2660076.8879059991,-0.0072527473,0.4095,0.40665,0.40648,"['0.40625', '0.40653']",6376313.4000000022,,
0,ANIME,3,-0.00191783,65865920.0,0.0203,3403650.749654999,-0.0177373508,0.01759,0.01728,0.017258,"['0.017238', '0.017278']",186510668.0,,
0,VINE,5,0.0000125,45129184.0,0.032375,2563337.1530870004,-0.0002655161,0.03013,0.030108,0.030106,"['0.030095', '0.030122']",83130273.0,,
2,VVV,3,-0.0000370969,3672321.3599999999,1.9752,19159.385677,-0.0009637332,1.9715,1.9693,1.9688,"['1.9679', '1.9696']",9843.33,,
0,JELLY,3,0.0,0.0,0.037555,0.0,,0.03719,0.037555,,,0.0,True,
1,BERA,5,-0.0001199547,5645300.6000000006,3.833,14089246.1862500031,-0.0017494658,3.744,3.7386,3.73635,"['3.7363', '3.73745']",3808253.7000000011,,
0,TST,3,0.0000125,14611560.0,0.072415,323019.8286079998,0.0,0.073,0.073076,0.073029,"['0.072957', '0.073107']",4479691.0,,
0,LAYER,3,0.000007139,3823930.0,1.9019,6442011.1791000003,-0.000320661,2.0333,2.031,2.032,"['2.031198', '2.032648']",3118816.0,,
1,IP,3,-0.0002088516,2321494.2000000002,4.063,5146390.2201300031,-0.0035572823,3.9637,3.9514,3.9491,"['3.94834', '3.9496']",1291063.4000000001,,
1,OM,5,-0.0000537465,8171250.7999999998,0.7542,10704508.0816600043,-0.0009046525,0.6964,0.69599,0.69569,"['0.69549', '0.69577']",14167645.2000000011,,
0,KAITO,5,-0.0000526572,6744346.0,0.71631,2525181.3671499994,-0.0008126181,0.6879,0.68714,0.68708,"['0.686856', '0.687341']",3647049.0,,
0,NIL,3,0.0000125,17449170.0,0.36219,1115810.4601699996,0.0,0.33675,0.3368,0.33681,"['0.33661', '0.336992']",3221387.0,,
3,PAXG,5,0.0000125,4428.496,3290.1,8696768.0722000021,0.0,3354.0,3353.9,3354.4,"['3353.915', '3355.483']",2600.205,,
0,PROMPT,5,0.0000125,6533548.0,0.30386,3270871.3052300005,0.0,0.27801,0.278,0.277985,"['0.277773', '0.278155']",11321420.0,,
0,BABY,5,-0.0001493931,21357366.0,0.09224,2564935.5292559997,-0.0008143713,0.0835,0.08344,0.083418,"['0.083396', '0.083432']",29442974.0,,
0,WCT,3,-0.0005271965,6459536.0,0.30259,26096565.0354499891,-0.0049621859,0.4099,0.40797,0.407735,"['0.407528', '0.407866']",59656469.0,,
